,actors_list,num_appearances,avg_critics_vote
526,Adam Lopapa,1,2.6139376664919998
527,Adam Lubarsky,1,7.0
528,Adam Lundgren,2,6.241898041898075
529,Adam MacDonald,1,5.004457178183764
530,Adam Mayfield,5,5.807590246352396
531,Adam McMahon,1,4.549345844319437
532,Adam Mediano,2,4.875
533,Adam Mervis,1,4.634177560673122
534,Adam Mihál,1,7.0
535,Adam Monty,1,6.0
536,Adam Morgan,1,6.74
537,Adam Morris,1,3.33
538,Adam Mucci,1,7.08
539,Adam Nee,1,6.014811875582742
540,Adam Nelson,2,6.86
541,Adam Newman,1,7.0
542,Adam Norou,1,6.5
543,Adam O'Brian,1,6.0
544,Adam O'Byrne,4,4.9575
545,Adam O'Reilly,1,8.0
546,Adam P. Murphy,1,7.0
547,Adam Pally,9,4.991336424982636
548,Adam Pascal,1,3.75
549,Adam Pawlikowski,1,8.0
550,Adam Paxnis,1,8.0
551,Adam Pearson,1,6.654417454854248
552,Adam Powell,1,6.25
553,Adam Pålsson,2,5.0
554,Adam Quintero,1,6.5
555,Adam Rayner,4,5.057542510583811
556,Adam Redfield,1,7.25
557,Adam Reid,1,6.013755499194874
558,Adam Riegl,1,4.0
559,Adam Rifkin,1,4.0
560,Adam Roarke,3,5.5566666666666675
561,Adam Robert Warton,1,3.4
562,Adam Robertson,1,7.5805273116705765
563,Adam Robitel,2,4.316854030028146
564,Adam Rodriguez,3,3.9033333333333338
565,Adam Rose,2,4.9399999999999995
566,Adam Rothenberg,1,5.6
567,Adam Sandler,35,5.2232165478776125
568,Adam Saunders,3,4.358851618291122
569,Adam Scarimbolo,2,5.215
570,Adam Scott,19,5.0400486751687845
571,Adam Senn,2,4.036459651384527
572,Adam Shapiro,4,5.8774999999999995
573,Adam Shaw,1,5.5
574,Adam Shulman,1,4.0
575,Adam Sibley,1,4.363795222524391
576,Adam Skaggs,1,5.004691928492179
577,Adam Smethurst,1,4.448744314032285
578,Adam Smith,1,6.098821965856975
579,Adam Solomonian,1,5.0
580,Adam Speers,1,6.75
581,Adam Stafford,1,6.0
582,Adam Storke,4,5.34835839660459
583,Adam Swain,1,3.7250112693323385
584,Adam Szyszkowski,1,6.5
585,Adam T Perkins,2,4.953804287577563
586,Adam Teper,1,6.0
587,Adam Thomas Wright,2,5.0
588,Adam Tomei,2,4.540932749158769
589,Adam Torres,1,8.0
590,Adam Trese,4,6.145
591,Adam Turczyk,1,5.457455759272355
592,Adam Vernier,1,4.0
593,Adam Vint,1,7.4
594,Adam Wagner,1,6.8
595,Adam Walicki,1,7.0
596,Adam Weisman,1,6.0
597,Adam West,5,5.434
598,Adam Williams,4,7.091174268091222
599,Adam Wingard,3,5.073333333333333
600,Adam Woronowicz,5,6.499548635352362
601,Adam Wylie,2,4.061911431637073
602,Adam Xander Angelides,1,7.0
603,Adam Young,1,4.86
604,Adam Zdrójkowski,1,6.0
605,Adam Zolotin,1,6.0
606,Adama Niane,2,6.5
607,Adamo Dionisi,6,5.016666666666667
608,Adamo Dioniso,1,4.7
609,Adamo Palladino,1,4.3647342237580515
610,Adamo Ruggiero,1,1.0
611,Adan Canto,4,5.394804096646367
612,Adan Jodorowsky,3,6.926666666666667
613,Adana Kambeba,1,6.33
614,Adar Beck,2,6.035
615,Adarene San Martin,1,4.5
616,Adarsh Gourav,2,6.734492104106705
617,Adaya Ariana,1,5.004574553337972
618,Adda Senani,1,5.33
619,Addam Bramich,1,4.0
620,Addie Bartlett,1,5.0
621,Addison Gosselin,1,3.0
622,Addison Powell,2,7.525
623,Addison Rae,1,2.0
624,Addison Richards,1,7.0
625,Addison Timlin,7,5.502001136862802
626,Addy Miller,1,5.0
627,Addy Stafford,2,6.136891569972314
628,Ade,1,4.89
629,Ade Firza Paloh,1,5.5
630,Adea Lennox,1,6.2
631,Adeeb Safadi,1,6.5
632,Adeel Akhtar,9,5.398888888888889
633,Adel Adham,1,5.0
634,Adel Bencherif,4,6.3825
635,Adel Chahine,1,6.17
636,Adel Djafri,1,8.0
637,Adel Hammoud,1,6.0
638,Adel Karam,1,6.85
639,Adel Mahmoud Cherif,1,7.29
640,Adelaide Clemens,4,3.967092443965591
641,Adelaide Di Fabio,1,6.5
642,Adelaide Foti,1,1.7047713751512146
643,Adelaide Humphreys,1,4.67
644,Adelaide Kane,6,4.216132472204039
645,Adelaide Klein,1,8.63
646,Adelchi Bianchi,1,3.0
647,Adelchi Ghezzi,1,7.209543443234689
648,Adele Garavaglia,2,4.0
649,Adele Jergens,6,6.471666666666667
650,Adele Lamont,1,5.0
