,directors_list,num_appearances,avg_critics_vote
8727,Michelangelo Antonioni,14,6.895714285714285
7341,Lewis Gilbert,14,6.317142857142857
6167,John Farrow,14,6.520714285714286
9335,Orson Welles,14,7.97
10227,René Clair,14,7.466428571428572
11563,Stephen Herek,14,4.810910542254059
3859,Florestano Vancini,14,6.149285714285715
4544,Giorgio Ferroni,14,4.567142857142857
4006,Franco Giraldi,14,5.612857142857143
1112,Arthur Penn,14,7.339999999999999
9235,Norman Foster,13,6.254573560058969
3207,Duilio Coletti,13,4.352307692307692
10579,Robert Zemeckis,13,6.687692307692307
10812,Rudolph Maté,13,6.534124351738855
4116,Freddie Francis,13,5.976505932713409
6280,John Sayles,13,7.6380323097531235
10725,Romolo Guerrieri,13,4.846923076923077
10696,Roger Young,13,5.116053448217603
220,Alan Parker,13,6.297692307692308
12446,Vincent McEveety,13,5.586259368473774
12641,William Friedkin,13,7.003846153846154
1901,Charles Chaplin,13,8.24846153846154
8640,Michael Ritchie,13,5.287692307692307
9416,Paolo Genovese,13,5.045384615384616
10950,Sam Raimi,13,6.735384615384616
5048,Henri Verneuil,13,6.892307692307692
9966,Pietro Germi,13,7.199999999999999
3253,Edgar G. Ulmer,13,6.843076923076922
6126,John Badham,13,6.582307692307692
3809,Fernando Cerchio,13,4.501538461538462
10264,Riccardo Milani,13,5.203846153846154
9302,Olivier Assayas,13,6.841538461538462
4478,Gianni Puccini,13,4.910769230769231
1241,Basil Dearden,13,6.941538461538461
2088,Christian-Jaque,13,5.828461538461538
8387,Maurizio Zaccaro,13,5.344109745346072
8977,Nagisa Oshima,13,7.631538461538461
8832,Mikio Naruse,13,7.855003982289528
7601,Luigi Magni,13,5.157692307692307
9897,Phillip Noyce,13,5.725384615384616
9036,Neil Jordan,13,6.64
7294,Leonardo Pieraccioni,13,4.203076923076923
1743,Carl Theodor Dreyer,13,7.967692307692308
7345,Lewis Milestone,13,6.226153846153846
9697,Peter Del Monte,13,5.490769230769231
2597,Daniele D'Anza,13,5.461538461538462
11293,Shinya Tsukamoto,13,6.8707692307692305
11380,Simon Wincer,13,5.53923076923077
1690,Byron Haskin,13,6.454185958065711
8551,Michael Haneke,13,7.113076923076923
